movie_id,imdb_id,tmdb_id,rating,average_rating,title
4299,0183790,9476,4.0,3.3843,A Knight's Tale (2001)
4306,0126029,808,4.0,3.75306,Shrek (2001)
4310,0213149,676,4.5,2.85983,Pearl Harbor (2001)
4343,0251075,9397,3.0,2.92937,Evolution (2001)
4344,0244244,9705,4.5,3.08532,Swordfish (2001)
4351,0102685,1089,4.0,3.40892,Point Break (1991)
4367,0146316,1995,3.0,2.78521,Lara Croft: Tomb Raider (2001)
4369,0232500,9799,4.5,2.98851,The Fast and the Furious (2001)
4378,0203119,11826,3.0,3.61334,Sexy Beast (2001)
4383,0228786,60670,3.0,3.45164,The Crimson Rivers (2000)
4387,0271027,2140,4.0,3.27511,Kiss of the Dragon (2001)
4388,0257106,4248,3.5,2.45858,Scary Movie 2 (2001)
4448,0227445,11371,5.0,3.46303,The Score (2001)
4452,0227005,15745,4.0,3.19768,Made (2001)
4643,0133152,869,3.0,2.76462,Planet of the Apes (2001)
4701,0266915,5175,4.0,3.29991,Rush Hour 2 (2001)
4718,0252866,2770,4.0,2.88622,American Pie 2 (2001)
4728,0250687,9896,4.0,3.13736,Rat Race (2001)
4771,0180734,20857,3.0,3.08892,Hardball (2001)
4774,0246464,2185,4.0,3.23899,Big Trouble (2002)
4776,0139654,2034,5.0,3.75172,Training Day (2001)
4814,0260866,12103,2.0,3.11921,Don't Say a Word (2001)
4816,0196229,9398,2.5,3.24645,Zoolander (2001)
4844,0219965,3172,4.5,3.31982,Bandits (2001)
4848,0166924,1018,3.0,3.86424,Mulholland Drive (2001)
4866,0272020,2100,4.5,3.42078,The Last Castle (2001)
4874,0272152,167,5.0,3.53245,K-PAX (2001)
4876,0245674,9378,3.5,2.73594,Thir13en Ghosts (2001)
4878,0246578,141,1.5,3.93162,Donnie Darko (2001)
4881,0243133,10778,4.0,3.7496,The Man Who Wasn't There (2001)
4886,0198781,585,4.0,3.83796,"Monsters, Inc. (2001)"
4887,0267804,10796,3.5,2.99222,The One (2001)
4890,0256380,9889,4.0,2.80803,Shallow Hal (2001)
4896,0241527,671,4.5,3.70418,Harry Potter and the Philosopher's Stone (2001)
4901,0266987,1535,4.0,3.62267,Spy Game (2001)
4958,0159273,8007,4.0,3.24973,Behind Enemy Lines (2001)
4963,0240772,161,4.5,3.81969,Ocean's Eleven (2001)
4967,0283509,8342,5.0,3.93613,No Man's Land (2001)
4973,0211915,194,3.5,4.07986,Amélie (2001)
4974,0277371,11397,4.5,2.67746,Not Another Teen Movie (2001)
4975,0259711,1903,4.5,3.41153,Vanilla Sky (2001)
4993,0120737,120,2.0,4.10443,The Lord of the Rings: The Fellowship of the Ring (2001)
4995,0268978,453,4.5,3.96355,A Beautiful Mind (2001)
5009,0248667,8489,4.5,3.17303,Ali (2001)
5010,0265086,855,5.0,3.69534,Black Hawk Down (2001)
5013,0280707,5279,3.0,3.59788,Gosford Park (2001)
5064,0245844,11362,3.5,3.80229,The Count of Monte Cristo (2002)
5065,0265349,2637,1.5,3.10307,The Mothman Prophecies (2002)
5094,0246894,11535,3.5,1.85332,Rollerball (2002)
5107,0251114,10592,3.5,3.1444,Hart's War (2002)
5108,0251160,8470,5.0,3.40905,John Q (2002)
5151,0243736,2752,4.0,2.76683,40 Days and 40 Nights (2002)
5152,0277434,10590,4.0,3.57065,We Were Soldiers (2002)
5171,0268695,2135,4.0,2.9098,The Time Machine (2002)
5218,0268380,425,4.0,3.52963,Ice Age (2002)
5219,0120804,1576,4.0,3.19119,Resident Evil (2002)
5220,0284490,5851,3.5,2.74503,Showtime (2002)
5254,0187738,36586,4.0,3.13929,Blade II (2002)
5266,0258000,4547,5.0,3.24756,Panic Room (2002)
5283,0283111,11452,4.0,3.17532,National Lampoon's Van Wilder (2002)
5293,0264472,1537,1.5,3.24041,Changing Lanes (2002)
5294,0264616,12149,1.0,3.62866,Frailty (2002)
5319,0247586,18079,3.5,3.95226,Nine Queens (2000)
5329,0235737,11468,2.5,3.56542,The Salton Sea (2002)
5349,0145487,557,3.5,3.49337,Spider-Man (2002)
5378,0121765,1894,3.0,3.03319,Star Wars: Episode II - Attack of the Clones (2002)
5400,0164184,4614,3.0,3.22748,The Sum of All Fears (2002)
5414,0280486,3132,4.0,2.84541,Bad Company (2002)
5418,0258463,2501,4.5,3.90742,The Bourne Identity (2002)
5445,0181689,180,5.0,3.70091,Minority Report (2002)
5449,0280590,2022,3.0,2.84086,Mr. Deeds (2002)
